id_ticket,priorita,componente,tipo,lunghezza_descrizione,commenti_24h,carico_assegnatario,esperienza_assegnatario_mesi,allegati,ore_risoluzione
T-00428,Alta,Mobile,Domanda,422,2,5,10,0,31.7
T-00429,Bassa,Backend,Domanda,946,0,6,40,1,83.3
T-00430,Alta,Frontend,Richiesta,406,0,8,73,0,41.0
T-00431,Critica,API,Richiesta,457,6,8,3,1,7.9
T-00432,Alta,API,Richiesta,518,5,6,17,0,49.1
T-00433,Media,Mobile,Domanda,1296,0,15,12,0,29.1
T-00434,Alta,Infrastruttura,Bug,193,1,7,8,0,55.7
T-00435,Bassa,Mobile,Bug,272,3,8,39,0,41.7
T-00436,Bassa,Backend,Richiesta,187,3,9,36,1,105.0
T-00437,Bassa,Database,Bug,312,0,9,80,1,67.3
T-00438,Media,API,Bug,369,0,7,52,0,29.6
T-00439,Alta,Backend,Bug,228,4,7,32,1,23.7
T-00440,Media,Backend,Richiesta,386,1,4,38,0,26.4
T-00441,Alta,Backend,Bug,179,3,7,20,1,54.6
T-00442,Bassa,Database,Bug,326,0,5,39,0,49.9
T-00443,Alta,Frontend,Bug,1233,2,14,7,0,22.8
T-00444,Bassa,Backend,Bug,764,0,5,28,0,96.9
T-00445,Bassa,Infrastruttura,Domanda,671,3,6,44,0,62.6
T-00446,Alta,Documentazione,Bug,329,4,8,26,1,9.1
T-00447,Critica,Backend,Richiesta,239,3,7,17,0,9.8
T-00448,Media,Documentazione,Richiesta,303,3,7,33,0,15.6
T-00449,Bassa,Backend,Bug,585,2,8,15,1,51.7
T-00450,Media,Documentazione,Richiesta,1010,3,10,25,0,44.0
T-00451,Bassa,Documentazione,Richiesta,1031,2,6,55,0,48.0
T-00452,Alta,Backend,Richiesta,876,1,12,58,1,63.1
T-00453,Alta,Mobile,Bug,385,3,7,37,0,24.9
T-00454,Bassa,Documentazione,Bug,609,1,7,13,1,61.2
T-00455,Bassa,Documentazione,Domanda,495,4,4,23,0,8.3
T-00456,Bassa,Documentazione,Richiesta,532,0,6,34,0,36.9
T-00457,Critica,API,Domanda,2037,1,10,17,0,9.6
T-00458,Media,Backend,Domanda,208,0,13,95,0,14.1
T-00459,Alta,Infrastruttura,Bug,521,5,5,17,0,30.3
T-00460,Media,API,Richiesta,1241,0,11,32,0,68.1
T-00461,Media,API,Bug,249,0,10,61,1,52.3
T-00462,Bassa,Frontend,Richiesta,408,2,6,85,0,34.8
T-00463,Critica,API,Bug,437,5,9,12,1,10.6
T-00464,Media,Backend,Bug,525,4,8,7,0,66.0
T-00465,Media,Mobile,Richiesta,230,2,2,36,1,26.4
T-00466,Media,Backend,Richiesta,858,0,6,102,0,85.0
T-00467,Media,Mobile,Richiesta,895,2,7,8,1,46.9
T-00468,Critica,Infrastruttura,Bug,814,4,14,24,0,13.7
T-00469,Bassa,Database,Bug,356,2,10,39,0,47.1
T-00470,Media,Database,Domanda,632,1,10,33,0,29.3
T-00471,Media,Frontend,Bug,350,1,11,43,1,56.4
T-00472,Media,Documentazione,Bug,491,2,7,77,1,31.3
T-00473,Bassa,Mobile,Richiesta,2184,3,4,61,1,208.5
T-00474,Bassa,Frontend,Bug,635,1,12,23,0,119.4
T-00475,Bassa,Backend,Richiesta,294,0,7,8,0,71.2
T-00476,Media,Backend,Bug,669,0,6,65,0,26.4
T-00477,Media,Database,Richiesta,267,0,2,24,0,88.4
T-00478,Media,Documentazione,Domanda,292,3,7,33,0,11.8
T-00479,Media,Mobile,Domanda,321,2,7,57,1,9.4
T-00480,Media,Backend,Richiesta,460,2,11,63,1,119.4
T-00481,Media,Infrastruttura,Bug,1053,2,5,55,0,23.9
T-00482,Bassa,Frontend,Richiesta,849,2,9,91,1,106.2
T-00483,Media,Infrastruttura,Richiesta,821,4,13,30,0,111.7
T-00484,Media,Backend,Richiesta,310,1,11,18,0,63.4
T-00485,Bassa,API,Richiesta,434,3,10,14,0,104.1
T-00486,Media,Documentazione,Richiesta,706,2,9,19,0,24.7
T-00487,Media,Frontend,Richiesta,412,0,9,20,0,73.9
T-00488,Bassa,API,Richiesta,508,1,7,37,1,107.4
T-00489,Media,Documentazione,Bug,782,0,9,47,1,42.1
T-00490,Media,Backend,Bug,487,0,11,12,0,115.5
T-00491,Alta,Backend,Richiesta,687,4,7,57,1,33.9
T-00492,Media,API,Bug,1560,0,7,61,1,36.9
T-00493,Media,Frontend,Domanda,541,0,7,47,0,8.4
T-00494,Media,Backend,Richiesta,1217,1,8,21,0,178.8
T-00495,Alta,Database,Bug,839,4,5,75,1,53.6
T-00496,Media,Mobile,Richiesta,249,2,4,30,0,68.3
T-00497,Media,Frontend,Richiesta,310,3,5,16,0,40.2
T-00498,Media,Frontend,Richiesta,364,1,5,12,1,74.5
T-00499,Media,Infrastruttura,Bug,359,0,3,35,1,95.4
T-00500,Media,Database,Domanda,568,0,7,22,1,21.6
T-00501,Alta,Infrastruttura,Bug,868,3,14,9,1,62.8
T-00502,Alta,Frontend,Richiesta,1274,5,8,7,0,21.1
T-00503,Critica,Documentazione,Bug,722,4,7,39,1,6.3
T-00504,Media,API,Richiesta,459,1,6,8,1,130.8
T-00505,Media,Backend,Richiesta,172,5,11,2,0,81.8
T-00506,Alta,Infrastruttura,Richiesta,626,1,4,62,0,45.6
T-00507,Media,Database,Bug,609,2,10,13,0,20.9
T-00508,Alta,Backend,Richiesta,670,0,7,43,1,31.8
T-00509,Media,Backend,Richiesta,2123,1,3,34,1,81.9
T-00510,Bassa,API,Bug,1263,1,5,18,1,77.5
T-00511,Bassa,Backend,Domanda,961,2,7,80,0,25.0
T-00512,Alta,Frontend,Richiesta,337,3,5,48,0,22.9
T-00513,Bassa,Backend,Domanda,441,4,8,28,0,18.3
T-00514,Bassa,Frontend,Domanda,567,2,6,14,1,25.1
T-00515,Media,Frontend,Domanda,377,4,10,45,0,11.0
T-00516,Bassa,Database,Richiesta,810,4,9,51,1,110.0
T-00517,Media,Frontend,Richiesta,743,2,5,32,0,111.4
T-00518,Alta,Backend,Bug,312,5,7,29,0,13.5
T-00519,Bassa,API,Bug,1230,3,5,48,0,21.9
T-00520,Alta,Frontend,Richiesta,638,2,11,28,1,92.1
T-00521,Alta,API,Bug,213,1,6,16,0,12.5
T-00522,Media,Backend,Domanda,582,2,8,8,1,30.3
T-00523,Bassa,Backend,Bug,710,4,5,28,0,41.6
T-00524,Media,Backend,Bug,1076,0,7,8,0,74.0
T-00525,Bassa,Database,Bug,490,0,6,51,0,86.0
T-00526,Media,Frontend,Bug,986,3,10,28,0,66.9
T-00527,Critica,Infrastruttura,Bug,671,3,6,57,0,15.1
T-00528,Critica,Frontend,Bug,273,3,8,36,0,6.7
T-00529,Alta,Database,Richiesta,257,3,4,43,0,34.4
T-00530,Media,API,Bug,1177,1,3,17,0,34.8
T-00531,Media,Backend,Bug,1230,0,9,27,0,25.5
T-00532,Alta,Database,Bug,728,4,6,36,0,21.6
T-00533,Media,Frontend,Bug,1472,4,11,33,1,183.9
T-00534,Media,Frontend,Bug,1131,2,13,32,0,23.6
T-00535,Bassa,Backend,Richiesta,904,3,5,12,0,113.6
T-00536,Bassa,Mobile,Richiesta,347,2,10,5,0,110.9
T-00537,Media,Documentazione,Bug,1696,1,4,11,0,58.7
T-00538,Bassa,Backend,Richiesta,828,6,12,2,0,74.6
T-00539,Bassa,API,Bug,476,0,4,6,0,67.1
T-00540,Alta,Mobile,Bug,402,4,3,37,0,22.4
T-00541,Critica,Frontend,Domanda,700,2,7,24,1,4.9
T-00542,Media,Mobile,Bug,220,1,10,15,1,35.3
T-00543,Alta,API,Domanda,913,3,7,24,0,9.4
T-00544,Critica,Documentazione,Bug,339,6,4,4,0,3.8
T-00545,Bassa,Documentazione,Bug,749,0,10,27,0,40.8
T-00546,Media,Backend,Bug,439,1,9,9,0,72.1
T-00547,Media,Frontend,Bug,512,3,12,68,1,45.2
T-00548,Bassa,Database,Domanda,381,1,5,45,0,38.8
T-00549,Alta,Backend,Bug,545,0,10,42,0,33.2
T-00550,Media,Frontend,Domanda,1864,3,6,32,1,27.4
T-00551,Media,Documentazione,Domanda,1377,0,12,47,1,26.6
T-00552,Bassa,Backend,Richiesta,742,1,8,28,0,104.8
T-00553,Bassa,Database,Bug,591,2,4,15,1,136.4
T-00554,Alta,Infrastruttura,Bug,996,1,9,42,1,27.5
T-00555,Bassa,Frontend,Bug,1182,1,5,59,1,23.1
T-00556,Bassa,Database,Richiesta,365,2,6,12,0,288.8
T-00557,Bassa,Documentazione,Bug,573,1,11,7,1,44.8
T-00558,Media,Database,Domanda,201,2,9,97,0,16.2
T-00559,Media,Backend,Richiesta,1177,0,8,73,0,41.0
T-00560,Media,Backend,Bug,2071,2,3,30,0,25.3
T-00561,Bassa,Documentazione,Richiesta,630,4,7,3,0,36.5
T-00562,Bassa,Frontend,Bug,168,1,5,36,0,51.9
T-00563,Alta,Database,Domanda,865,7,8,132,0,5.9
T-00564,Media,Backend,Bug,349,0,6,47,0,30.2
T-00565,Media,Frontend,Domanda,403,1,11,44,1,12.0
T-00566,Media,Documentazione,Richiesta,874,2,9,28,0,296.9
T-00567,Alta,Database,Domanda,699,2,7,42,0,19.2
T-00568,Bassa,Documentazione,Bug,448,3,7,47,1,24.3
T-00569,Media,Frontend,Richiesta,406,0,7,34,0,70.2
T-00570,Media,Database,Bug,647,0,6,25,1,62.1
T-00571,Media,Infrastruttura,Richiesta,469,0,10,34,0,94.2
T-00572,Alta,Frontend,Bug,308,4,11,33,0,17.7
T-00573,Media,Frontend,Bug,491,0,7,3,0,54.5
T-00574,Alta,Infrastruttura,Bug,736,4,4,115,0,13.5
T-00575,Alta,Frontend,Bug,539,5,3,44,0,15.7
T-00576,Media,Database,Bug,257,2,7,66,0,121.3
T-00577,Alta,Documentazione,Richiesta,1086,3,9,37,0,22.4
T-00578,Media,Backend,Bug,116,2,9,19,0,31.3
T-00579,Alta,Frontend,Richiesta,459,3,5,56,1,22.8
T-00580,Media,Backend,Bug,414,0,5,6,0,51.0
T-00581,Media,Frontend,Richiesta,656,2,9,46,1,29.1
T-00582,Media,Backend,Richiesta,840,1,6,56,1,141.8
T-00583,Bassa,API,Bug,1180,0,3,28,0,109.0
T-00584,Media,Backend,Richiesta,391,2,11,43,1,51.9
T-00585,Alta,API,Domanda,853,5,4,4,1,8.7
T-00586,Media,Frontend,Richiesta,675,2,10,44,0,45.1
T-00587,Bassa,Frontend,Bug,215,2,5,22,0,47.1
T-00588,Media,Frontend,Bug,1877,1,5,43,0,42.6
T-00589,Bassa,Mobile,Richiesta,253,1,6,29,1,110.6
T-00590,Bassa,Database,Bug,772,2,6,28,0,60.3
T-00591,Critica,Frontend,Richiesta,758,6,8,44,0,11.4
T-00592,Media,Infrastruttura,Bug,708,2,7,23,1,119.6
T-00593,Media,API,Richiesta,446,1,6,28,0,42.6
T-00594,Media,Backend,Bug,986,1,7,100,0,11.1
T-00595,Bassa,Documentazione,Bug,235,1,4,69,0,19.4
T-00596,Bassa,Frontend,Domanda,577,3,10,25,1,82.3
T-00597,Alta,Backend,Domanda,428,3,6,29,0,11.4
T-00598,Media,Database,Domanda,400,1,12,18,0,22.4
T-00599,Critica,Backend,Domanda,776,3,6,22,0,5.2
T-00600,Media,Backend,Bug,1145,2,12,23,0,84.7
T-00601,Media,Mobile,Bug,488,0,8,32,1,24.8
T-00602,Alta,Backend,Bug,958,3,5,4,0,17.0
T-00603,Alta,Infrastruttura,Bug,618,0,7,22,0,49.3
T-00604,Alta,Documentazione,Bug,351,1,7,19,1,25.8
T-00605,Critica,API,Domanda,514,7,13,75,0,3.4
T-00606,Alta,Mobile,Bug,501,2,3,29,0,41.0
T-00607,Alta,Mobile,Bug,395,2,7,36,1,17.8
T-00608,Bassa,Documentazione,Bug,776,4,10,21,1,9.2
T-00609,Alta,Frontend,Bug,691,2,11,29,0,35.4
T-00610,Media,Backend,Bug,231,1,7,22,0,44.3
T-00611,Media,Database,Richiesta,223,2,9,33,0,452.1
T-00612,Media,Database,Bug,774,4,7,43,0,69.1
T-00613,Critica,Backend,Richiesta,368,6,8,9,0,17.4
T-00614,Critica,API,Domanda,719,8,9,47,0,3.4
T-00615,Bassa,Backend,Richiesta,959,3,8,14,0,108.0
T-00616,Alta,Documentazione,Richiesta,280,2,5,102,0,8.0
T-00617,Alta,Frontend,Bug,257,3,8,32,1,14.6
T-00618,Media,Backend,Bug,1639,0,7,35,1,27.9
T-00619,Bassa,Backend,Bug,741,1,6,36,1,44.6
T-00620,Bassa,Backend,Domanda,467,0,7,31,0,26.3
T-00621,Alta,Frontend,Richiesta,343,1,6,17,0,10.1
T-00622,Media,Backend,Bug,442,1,9,35,0,17.3
T-00623,Critica,Frontend,Bug,294,7,6,34,0,5.7
T-00624,Media,Backend,Richiesta,1019,4,6,15,1,64.3
T-00625,Critica,Frontend,Richiesta,376,4,6,9,1,13.4
T-00626,Media,Frontend,Richiesta,1156,1,9,56,0,21.9
T-00627,Alta,Frontend,Domanda,472,3,4,22,0,12.6
T-00628,Bassa,Frontend,Richiesta,321,3,7,26,0,36.6
T-00629,Media,Backend,Richiesta,465,0,5,34,1,43.4
T-00630,Alta,Backend,Bug,124,3,10,16,0,10.4
T-00631,Critica,Backend,Bug,558,14,6,38,0,10.6
T-00632,Alta,Mobile,Domanda,542,3,8,27,0,12.2
T-00633,Bassa,Documentazione,Richiesta,984,1,8,29,1,56.9
T-00634,Media,Documentazione,Bug,193,1,12,64,0,14.1
T-00635,Bassa,Database,Richiesta,1205,1,5,33,0,172.3
T-00636,Bassa,Database,Bug,982,3,4,25,1,55.3
T-00637,Media,Frontend,Richiesta,1272,0,5,13,1,88.6
T-00638,Alta,Mobile,Bug,581,9,5,36,0,11.6
T-00639,Alta,Mobile,Richiesta,1102,0,3,55,1,52.5
T-00640,Alta,Infrastruttura,Bug,248,3,4,26,0,28.9
T-00641,Alta,Infrastruttura,Bug,920,2,12,54,1,38.6
T-00642,Alta,Frontend,Bug,378,3,7,37,0,6.5
T-00643,Bassa,Mobile,Richiesta,223,3,6,31,1,76.1
T-00644,Bassa,Infrastruttura,Bug,306,1,4,40,1,42.9
T-00645,Media,Frontend,Bug,602,1,8,10,0,42.8
T-00646,Alta,Documentazione,Richiesta,366,0,8,22,0,16.9
T-00647,Bassa,Backend,Bug,752,2,6,23,1,58.8
T-00648,Media,Documentazione,Bug,203,0,6,26,0,9.3
T-00649,Media,Mobile,Bug,167,1,3,91,1,41.2
T-00650,Bassa,Backend,Domanda,1367,2,3,32,0,21.8
T-00651,Media,API,Bug,1032,1,8,8,0,153.7
T-00652,Alta,Backend,Bug,320,8,7,18,1,16.5
T-00653,Media,Mobile,Bug,599,2,6,29,0,49.4
T-00654,Bassa,Mobile,Bug,1106,3,12,33,1,115.4
T-00655,Alta,API,Bug,772,4,7,1,0,27.5
T-00656,Media,Infrastruttura,Bug,656,1,6,42,0,97.0
T-00657,Alta,Backend,Bug,1158,4,6,44,0,36.2
T-00658,Bassa,Frontend,Bug,387,2,7,12,0,24.8
T-00659,Media,Frontend,Domanda,611,3,8,54,1,20.0
T-00660,Media,Backend,Bug,594,1,7,25,0,54.3
T-00661,Bassa,Frontend,Bug,509,1,9,14,0,69.5
T-00662,Alta,Frontend,Domanda,475,4,3,11,1,14.1
T-00663,Bassa,Frontend,Domanda,627,1,4,42,0,44.1
T-00664,Bassa,Frontend,Richiesta,613,2,9,19,0,149.0
T-00665,Media,Infrastruttura,Bug,320,1,9,36,1,51.1
T-00666,Alta,Frontend,Bug,971,3,10,11,1,17.1
T-00667,Alta,Infrastruttura,Bug,334,4,10,23,0,45.2
T-00668,Critica,Frontend,Bug,526,5,4,40,1,15.5
T-00669,Bassa,Frontend,Bug,503,2,4,62,0,16.6
T-00670,Media,Database,Richiesta,744,2,8,67,0,131.6
T-00671,Bassa,Frontend,Bug,168,2,4,62,0,28.0
T-00672,Media,Frontend,Richiesta,1024,2,5,137,1,16.9
T-00673,Critica,Database,Bug,400,10,8,36,0,13.3
T-00674,Alta,Backend,Bug,1248,2,8,11,1,53.1
T-00675,Media,Frontend,Richiesta,450,2,6,19,0,40.5
T-00676,Media,API,Domanda,583,1,8,66,0,9.1
T-00677,Alta,Frontend,Bug,1892,3,5,17,1,56.9
T-00678,Media,Infrastruttura,Richiesta,508,0,9,1,1,99.3
T-00679,Bassa,Frontend,Bug,1262,1,5,24,0,113.7
T-00680,Media,Documentazione,Bug,614,2,8,53,0,9.8
T-00681,Bassa,Mobile,Richiesta,770,4,12,18,1,187.3
T-00682,Bassa,Documentazione,Bug,626,1,5,68,0,33.3
T-00683,Bassa,Infrastruttura,Bug,998,1,7,97,0,137.3
T-00684,Media,Backend,Bug,398,1,8,35,0,77.7
T-00685,Media,Database,Bug,332,2,6,109,1,25.8
T-00686,Media,Backend,Bug,409,1,5,81,0,36.2
T-00687,Media,Infrastruttura,Bug,637,3,3,54,0,23.2
T-00688,Critica,API,Domanda,526,6,5,39,0,1.8
T-00689,Alta,Frontend,Richiesta,919,3,7,36,0,23.6
T-00690,Media,Documentazione,Bug,1313,2,7,28,0,29.6
T-00691,Bassa,Backend,Bug,334,2,7,45,0,115.9
T-00692,Alta,API,Richiesta,386,5,7,4,0,64.0
T-00693,Bassa,Mobile,Bug,253,1,8,84,0,45.5
T-00694,Media,Backend,Bug,2029,1,8,110,0,50.7
T-00695,Alta,API,Richiesta,720,0,3,4,1,60.5
T-00696,Media,Infrastruttura,Bug,800,2,8,52,0,88.0
T-00697,Alta,Backend,Bug,268,2,5,79,0,13.2
T-00698,Media,Database,Bug,600,1,13,33,0,82.5
T-00699,Media,Frontend,Bug,814,4,6,27,0,30.0
T-00700,Bassa,API,Bug,516,1,6,22,1,64.3
T-00701,Bassa,Backend,Domanda,1144,2,4,19,1,26.8
T-00702,Media,Documentazione,Bug,2402,2,6,38,1,27.4
T-00703,Bassa,Infrastruttura,Richiesta,340,2,7,68,0,93.6
T-00704,Alta,Backend,Richiesta,325,2,7,5,1,22.1
T-00705,Bassa,Frontend,Bug,354,2,4,13,0,67.8
T-00706,Media,API,Bug,1573,0,7,18,0,72.5
T-00707,Alta,Mobile,Bug,1121,5,9,7,0,71.0
T-00708,Alta,Frontend,Richiesta,553,2,11,48,0,39.3
T-00709,Media,Backend,Bug,613,4,8,43,0,29.6
T-00710,Media,Backend,Richiesta,368,0,6,56,0,38.9
T-00711,Critica,Documentazione,Domanda,1023,2,7,3,1,3.9
T-00712,Media,Database,Richiesta,478,1,8,52,1,115.5
T-00713,Alta,Infrastruttura,Domanda,513,5,3,67,0,7.1
T-00714,Alta,Database,Richiesta,865,3,3,48,0,20.0
T-00715,Alta,Documentazione,Domanda,536,7,5,31,0,2.2
T-00716,Bassa,Backend,Richiesta,521,1,6,28,1,110.0
T-00717,Media,Backend,Richiesta,604,2,3,40,0,66.3
T-00718,Bassa,Documentazione,Richiesta,967,1,11,37,0,36.6
T-00719,Media,Documentazione,Domanda,1611,2,4,18,0,10.5
T-00720,Critica,Frontend,Bug,853,4,8,3,0,14.3
T-00721,Media,Frontend,Richiesta,972,0,6,21,0,52.5
T-00722,Media,Database,Bug,532,2,6,102,1,33.0
T-00723,Bassa,Frontend,Domanda,392,1,9,4,1,21.2
T-00724,Critica,Backend,Bug,888,2,7,37,1,16.9
T-00725,Bassa,Infrastruttura,Richiesta,665,2,9,86,0,226.8
T-00726,Bassa,Frontend,Richiesta,256,1,8,57,0,118.6
T-00727,Bassa,Mobile,Domanda,493,2,12,63,1,21.0
T-00728,Bassa,Backend,Bug,571,0,5,59,0,55.2
T-00729,Media,Backend,Richiesta,442,2,10,7,0,26.5
T-00730,Media,API,Richiesta,1460,2,9,76,1,76.3
T-00731,Media,Frontend,Domanda,800,3,8,83,0,15.4
T-00732,Bassa,API,Domanda,1368,1,4,10,0,62.8
T-00733,Bassa,Backend,Richiesta,703,3,4,22,0,39.2
T-00734,Media,Documentazione,Richiesta,630,1,7,33,0,19.6
T-00735,Bassa,Mobile,Bug,342,1,6,22,0,71.2
T-00736,Media,Infrastruttura,Domanda,604,2,2,17,0,9.6
T-00737,Bassa,Backend,Bug,605,3,9,17,0,79.5
T-00738,Media,Frontend,Richiesta,264,0,6,51,1,60.2
T-00739,Media,Frontend,Richiesta,434,1,9,62,1,30.3
T-00740,Media,Database,Bug,494,1,2,17,1,54.8
T-00741,Bassa,Frontend,Bug,769,2,7,62,1,34.1
T-00742,Bassa,Backend,Bug,791,2,9,22,0,152.1
T-00743,Alta,Frontend,Domanda,423,5,6,11,0,6.9
T-00744,Bassa,Frontend,Bug,795,0,10,40,0,57.6
T-00745,Media,Frontend,Bug,538,0,5,32,0,19.3
T-00746,Media,Backend,Richiesta,107,0,5,41,1,50.4
T-00747,Media,Frontend,Bug,449,3,7,40,0,53.0
T-00748,Media,API,Domanda,1146,3,8,37,1,13.5
T-00749,Alta,Frontend,Bug,219,2,8,29,0,13.4
T-00750,Alta,Frontend,Bug,642,5,5,61,0,9.6
T-00751,Bassa,Database,Bug,1553,2,16,49,1,384.7
T-00752,Media,Mobile,Bug,380,2,7,23,0,17.2
T-00753,Bassa,Frontend,Bug,601,2,8,23,1,121.4
T-00754,Media,API,Richiesta,274,3,14,7,1,64.3
T-00755,Media,Documentazione,Bug,1593,2,8,8,1,31.5
T-00756,Bassa,Database,Bug,571,1,5,28,1,85.0
T-00757,Media,Documentazione,Bug,617,2,4,56,0,17.5
T-00758,Critica,Mobile,Bug,1352,6,7,15,0,10.9
T-00759,Bassa,Backend,Domanda,892,3,2,50,1,35.6
T-00760,Media,Frontend,Bug,355,2,6,36,0,45.6
T-00761,Alta,API,Domanda,407,6,8,16,0,4.5
T-00762,Bassa,Documentazione,Bug,807,3,6,33,0,43.1
T-00763,Bassa,Database,Bug,413,1,8,32,0,80.6
T-00764,Bassa,Backend,Bug,168,4,7,16,0,46.8
T-00765,Alta,API,Bug,581,5,8,48,1,39.6
T-00766,Bassa,Backend,Richiesta,247,1,8,59,0,59.1
T-00767,Bassa,Mobile,Bug,1582,2,8,25,0,746.4
T-00768,Bassa,Database,Bug,667,0,4,12,0,123.3
T-00769,Bassa,Mobile,Richiesta,349,4,6,61,0,65.9
T-00770,Media,Infrastruttura,Richiesta,395,2,8,7,0,110.7
T-00771,Bassa,API,Domanda,193,2,7,39,1,22.9
T-00772,Media,API,Domanda,310,2,8,15,0,8.6
T-00773,Media,Mobile,Richiesta,1104,2,5,11,0,57.4
T-00774,Alta,Infrastruttura,Richiesta,2289,3,7,20,0,45.1
T-00775,Bassa,Infrastruttura,Richiesta,928,1,8,32,0,164.3
T-00776,Alta,Backend,Bug,568,3,9,13,1,52.1
T-00777,Media,API,Richiesta,463,3,1,9,1,58.5
T-00778,Bassa,Backend,Bug,338,3,4,5,1,30.2
T-00779,Alta,Infrastruttura,Richiesta,2065,3,11,86,1,64.5
T-00780,Alta,API,Domanda,536,2,8,41,0,9.7
T-00781,Bassa,Frontend,Bug,2135,1,6,16,1,129.0
T-00782,Alta,Backend,Richiesta,1384,4,6,42,0,26.0
T-00783,Media,Frontend,Domanda,211,0,6,32,1,7.1
T-00784,Media,Mobile,Bug,402,5,5,52,0,27.0
T-00785,Critica,Backend,Bug,402,8,7,26,0,11.1
T-00786,Media,Backend,Domanda,572,2,5,58,0,14.3
T-00787,Alta,Infrastruttura,Domanda,579,0,8,18,0,11.6
T-00788,Media,Mobile,Bug,3622,1,7,36,0,158.2
T-00789,Alta,Backend,Bug,314,4,6,56,0,14.5
T-00790,Media,Frontend,Richiesta,688,3,7,37,1,58.5
T-00791,Bassa,Documentazione,Bug,869,2,6,104,0,19.3
T-00792,Media,Mobile,Bug,599,2,13,51,0,90.2
T-00793,Media,API,Bug,641,1,10,42,0,59.0
T-00794,Bassa,Frontend,Bug,321,2,6,23,0,54.9
T-00795,Bassa,Frontend,Richiesta,640,1,9,37,0,59.0
T-00796,Media,Backend,Richiesta,815,4,4,70,0,69.3
T-00797,Bassa,Mobile,Richiesta,730,1,7,21,0,179.6
T-00798,Bassa,Backend,Richiesta,845,0,10,15,0,240.4
T-00799,Alta,Backend,Bug,1400,3,5,21,0,26.0
T-00800,Alta,Mobile,Bug,1053,2,9,20,0,33.0
T-00801,Alta,Documentazione,Bug,626,1,4,46,1,10.3
T-00802,Media,Mobile,Bug,297,2,7,96,1,87.8
T-00803,Alta,Database,Bug,419,6,9,8,0,22.3
T-00804,Media,Database,Bug,526,3,9,32,0,33.0
T-00805,Bassa,Frontend,Bug,698,2,7,13,1,59.1
T-00806,Bassa,Frontend,Bug,450,2,11,40,0,48.9
T-00807,Media,Database,Richiesta,342,1,6,43,0,123.9
T-00808,Bassa,Frontend,Richiesta,294,1,3,20,0,35.1
T-00809,Media,API,Domanda,223,4,9,47,0,8.5
T-00810,Critica,Infrastruttura,Richiesta,521,5,8,18,1,32.3
T-00811,Bassa,Documentazione,Richiesta,248,1,6,18,1,83.5
T-00812,Bassa,Backend,Bug,329,0,9,15,0,105.1
T-00813,Critica,Frontend,Richiesta,474,3,7,21,0,32.6
T-00814,Media,Backend,Bug,269,2,11,30,1,51.9
T-00815,Bassa,Frontend,Bug,754,1,11,28,0,71.9
T-00816,Alta,Frontend,Bug,935,2,8,35,0,33.7
T-00817,Alta,Backend,Bug,432,2,7,45,0,11.0
T-00818,Media,Mobile,Bug,462,3,5,35,1,17.7
T-00819,Media,Database,Richiesta,828,1,8,85,1,140.5
T-00820,Bassa,Documentazione,Richiesta,391,0,6,32,0,52.8
T-00821,Bassa,Backend,Richiesta,375,2,3,53,1,113.8
T-00822,Media,Backend,Richiesta,1230,1,5,7,0,51.8
T-00823,Bassa,Frontend,Bug,1020,1,6,35,0,114.7
T-00824,Media,Backend,Bug,861,0,9,27,1,82.9
T-00825,Alta,Frontend,Richiesta,1046,3,8,25,1,37.8
T-00826,Bassa,Documentazione,Bug,183,0,3,69,0,21.6
T-00827,Media,Backend,Bug,1352,3,7,106,0,40.0
T-00828,Bassa,Backend,Bug,759,3,7,46,1,47.2
T-00829,Alta,API,Domanda,1100,2,4,5,0,8.3
T-00830,Bassa,Database,Richiesta,757,2,5,19,0,163.6
T-00831,Media,API,Bug,618,3,10,8,0,38.0
T-00832,Media,Frontend,Richiesta,509,1,6,34,0,25.2
T-00833,Media,Infrastruttura,Bug,748,1,5,42,0,66.6
T-00834,Media,Backend,Bug,498,1,5,6,0,59.1
T-00835,Alta,Frontend,Bug,1010,0,8,77,0,36.1
T-00836,Media,API,Bug,232,2,8,10,0,43.6
T-00837,Alta,Infrastruttura,Richiesta,434,2,5,40,0,61.1
T-00838,Critica,Frontend,Bug,2046,7,2,76,0,11.6
T-00839,Media,API,Richiesta,412,1,3,34,0,46.2
T-00840,Media,Backend,Bug,520,0,8,17,0,18.7
T-00841,Bassa,Backend,Richiesta,353,2,11,16,1,211.7
T-00842,Alta,Backend,Richiesta,734,4,6,35,1,22.6
T-00843,Media,Mobile,Richiesta,386,2,6,53,0,31.0
T-00844,Media,Frontend,Richiesta,537,2,9,39,1,35.7
T-00845,Bassa,Mobile,Domanda,998,2,10,15,1,139.6
T-00846,Alta,Backend,Bug,395,3,9,27,0,27.1
T-00847,Media,Infrastruttura,Richiesta,963,2,8,14,1,78.9
T-00848,Media,Infrastruttura,Richiesta,983,3,6,14,0,71.8
T-00849,Bassa,Backend,Bug,1130,0,7,13,0,94.7
T-00850,Critica,Backend,Bug,653,2,6,22,0,17.2
T-00851,Bassa,Backend,Bug,4195,2,8,29,0,130.3
T-00852,Bassa,Infrastruttura,Bug,1130,0,12,32,1,123.0
T-00853,Alta,Backend,Bug,729,0,6,38,1,32.6
T-00854,Alta,Database,Bug,355,3,9,16,0,24.1
T-00855,Bassa,Frontend,Richiesta,566,0,8,30,0,159.8
