id_ticket,canale,tipo_cliente,componente_indicato,priorita_dichiarata,stack_trace,allegati,lunghezza_descrizione,parole_errore,parole_richiesta,punti_interrogativi,utenti_segnalanti,ora_apertura,categoria
T-00341,email,Free,API,Bassa,0,0,679,0,2,2,1,13,Domanda
T-00342,email,Free,Nessuno,Media,0,1,240,0,1,0,1,15,Domanda
T-00343,chat,Business,Mobile,Bassa,0,1,162,1,0,7,1,12,Domanda
T-00344,chat,Free,Account,Alta,0,0,93,0,0,2,1,12,Domanda
T-00345,email,Business,Frontend,Alta,0,1,742,0,2,2,1,17,Richiesta
T-00346,email,Free,Nessuno,Bassa,0,0,176,0,2,1,1,13,Richiesta
T-00347,form,Business,Backend,Alta,0,1,1757,5,1,2,2,14,Bug
T-00348,form,Free,Backend,Alta,1,2,924,3,1,0,1,11,Bug
T-00349,chat,Business,API,Urgente,0,1,424,1,1,0,8,0,Incidente
T-00350,chat,Enterprise,Frontend,Bassa,1,1,430,5,0,1,1,10,Bug
T-00351,chat,Business,Nessuno,Bassa,0,0,144,2,0,2,1,14,Domanda
T-00352,email,Free,Mobile,Alta,1,0,377,1,1,0,2,9,Bug
T-00353,email,Free,Fatturazione,Bassa,0,0,676,1,3,0,1,19,Richiesta
T-00354,email,Enterprise,Mobile,Alta,0,1,399,3,0,1,9,14,Incidente
T-00355,telefono,Business,Backend,Urgente,1,2,1033,4,0,1,10,0,Incidente
T-00356,email,Business,Account,Alta,1,1,196,4,1,0,1,18,Bug
T-00357,form,Free,Mobile,Media,1,0,760,1,2,0,1,14,Bug
T-00358,telefono,Enterprise,API,Alta,0,2,920,3,0,3,8,10,Incidente
T-00359,chat,Free,Nessuno,Bassa,0,1,221,0,0,3,1,15,Domanda
T-00360,form,Free,Nessuno,Bassa,0,0,162,1,2,2,1,8,Domanda
T-00361,form,Enterprise,Account,Bassa,0,0,144,1,0,1,1,15,Domanda
T-00362,email,Free,Frontend,Bassa,0,0,656,0,0,0,2,9,Richiesta
T-00363,form,Business,Frontend,Bassa,0,0,493,0,1,1,1,10,Richiesta
T-00364,form,Enterprise,Fatturazione,Media,1,0,369,1,0,1,1,10,Bug
T-00365,form,Business,Frontend,Bassa,1,0,891,1,0,0,1,13,Bug
T-00366,chat,Business,API,Media,0,0,852,0,2,0,1,12,Richiesta
T-00367,chat,Free,Fatturazione,Bassa,0,0,200,0,0,3,1,12,Domanda
T-00368,chat,Business,Fatturazione,Media,0,1,740,4,1,1,1,12,Bug
T-00369,email,Business,API,Media,1,3,1238,3,1,1,1,12,Bug
T-00370,form,Business,Frontend,Media,0,0,478,1,2,1,1,14,Richiesta
T-00371,form,Business,Frontend,Alta,0,0,647,4,0,0,1,15,Bug
T-00372,email,Free,Nessuno,Media,0,0,558,0,2,1,1,7,Richiesta
T-00373,chat,Business,Nessuno,Media,0,1,92,1,0,3,1,8,Domanda
T-00374,form,Business,API,Bassa,0,1,653,0,0,0,1,15,Richiesta
T-00375,form,Free,Account,Media,0,0,121,0,0,2,1,11,Domanda
T-00376,form,Enterprise,Fatturazione,Media,1,1,426,8,0,0,3,9,Bug
T-00377,chat,Business,Nessuno,Media,0,0,202,1,1,1,1,13,Domanda
T-00378,email,Free,Fatturazione,Media,1,0,526,0,2,1,2,13,Domanda
T-00379,chat,Business,Frontend,Media,0,1,263,1,0,3,1,16,Domanda
T-00380,chat,Free,Fatturazione,Media,0,0,211,0,0,0,1,16,Domanda
T-00381,chat,Free,Account,Media,0,0,75,0,0,3,1,14,Domanda
T-00382,form,Free,API,Media,1,0,421,4,2,1,1,14,Bug
T-00383,email,Business,Nessuno,Bassa,0,2,344,0,1,3,1,9,Richiesta
T-00384,chat,Business,API,Alta,0,0,657,0,1,0,1,15,Richiesta
T-00385,chat,Business,API,Media,1,1,1239,2,0,0,1,15,Bug
T-00386,email,Business,Frontend,Bassa,1,0,764,0,1,0,1,12,Richiesta
T-00387,telefono,Business,API,Alta,0,3,153,2,0,1,9,19,Incidente
T-00388,form,Free,Backend,Media,0,2,747,1,2,0,1,15,Bug
T-00389,chat,Business,API,Alta,0,1,377,6,1,0,6,21,Incidente
T-00390,chat,Free,Account,Bassa,0,2,222,0,0,2,2,13,Domanda
T-00391,email,Enterprise,Mobile,Media,1,1,1185,6,1,0,1,12,Bug
T-00392,form,Free,Nessuno,Bassa,0,0,765,0,5,0,2,16,Richiesta
T-00393,chat,Business,Fatturazione,Alta,0,2,57,0,0,2,1,11,Domanda
T-00394,form,Business,Account,Alta,1,0,252,1,1,0,1,11,Bug
T-00395,chat,Enterprise,Nessuno,Media,0,0,547,0,3,2,1,13,Richiesta
T-00396,form,Enterprise,Mobile,Bassa,1,1,396,1,0,0,2,15,Bug
T-00397,form,Business,API,Media,0,0,775,3,0,0,7,4,Incidente
T-00398,form,Free,Frontend,Media,1,1,539,3,0,0,1,12,Bug
T-00399,form,Free,Frontend,Bassa,0,0,208,0,4,2,2,12,Richiesta
T-00400,chat,Enterprise,Nessuno,Media,0,0,772,0,1,0,1,13,Richiesta
T-00401,form,Business,Nessuno,Media,0,0,818,0,1,3,1,12,Richiesta
T-00402,email,Enterprise,Backend,Alta,0,1,300,5,0,2,3,17,Incidente
T-00403,form,Free,Mobile,Bassa,0,0,883,0,3,0,1,11,Richiesta
T-00404,form,Enterprise,API,Alta,1,0,2317,2,1,1,1,10,Bug
T-00405,form,Enterprise,Account,Bassa,0,2,758,0,2,0,1,9,Richiesta
T-00406,form,Business,Account,Urgente,0,0,1576,2,1,0,1,15,Bug
T-00407,email,Free,Backend,Media,1,1,976,2,1,0,1,20,Bug
T-00408,form,Business,Backend,Urgente,0,1,606,5,0,1,3,7,Incidente
T-00409,email,Business,Backend,Media,0,2,955,0,0,1,1,14,Bug
T-00410,chat,Enterprise,Backend,Media,1,0,1433,4,0,0,5,10,Incidente
T-00411,form,Business,Backend,Media,0,1,997,3,0,1,1,12,Bug
T-00412,email,Enterprise,API,Alta,1,1,1067,4,0,1,1,17,Bug
T-00413,email,Enterprise,API,Bassa,1,1,994,2,0,0,1,11,Bug
T-00414,email,Business,Fatturazione,Media,0,2,121,0,1,1,1,11,Domanda
T-00415,form,Business,Account,Alta,0,1,395,1,1,0,6,15,Incidente
T-00416,email,Business,Fatturazione,Bassa,0,0,277,1,1,3,1,12,Domanda
T-00417,form,Enterprise,Mobile,Media,1,2,494,5,0,1,1,17,Bug
T-00418,chat,Free,Fatturazione,Bassa,0,0,166,0,0,2,1,12,Domanda
T-00419,email,Business,API,Bassa,0,0,310,0,5,2,2,14,Richiesta
T-00420,form,Enterprise,Frontend,Media,1,0,732,6,0,0,1,15,Bug
T-00421,email,Free,Nessuno,Bassa,0,1,573,0,3,2,1,7,Richiesta
T-00422,chat,Free,Mobile,Media,0,1,2145,4,0,0,1,15,Bug
T-00423,email,Free,Frontend,Bassa,0,0,613,0,6,1,1,16,Richiesta
T-00424,email,Enterprise,Mobile,Media,0,1,347,0,2,0,1,11,Richiesta
T-00425,chat,Enterprise,Backend,Media,0,1,489,10,0,2,1,14,Bug
T-00426,email,Enterprise,Backend,Media,0,2,1974,4,1,0,2,9,Bug
T-00427,chat,Free,API,Alta,1,4,175,0,0,1,7,5,Incidente
T-00428,email,Business,Nessuno,Bassa,1,1,140,1,0,2,1,13,Domanda
T-00429,chat,Enterprise,API,Media,0,0,759,1,7,0,1,19,Richiesta
T-00430,email,Free,Account,Media,0,0,119,1,0,2,1,16,Domanda
T-00431,form,Enterprise,Mobile,Media,1,4,847,2,0,0,1,16,Bug
T-00432,chat,Free,Account,Bassa,0,0,207,0,1,4,1,11,Domanda
T-00433,email,Free,API,Bassa,0,0,469,0,2,0,1,12,Richiesta
T-00434,form,Business,Backend,Urgente,1,1,552,2,0,2,3,13,Bug
T-00435,telefono,Free,Fatturazione,Bassa,0,0,313,0,0,2,2,13,Domanda
T-00436,form,Enterprise,Nessuno,Bassa,0,0,483,0,5,2,1,14,Richiesta
T-00437,email,Business,Nessuno,Bassa,0,2,1529,0,2,2,1,13,Richiesta
T-00438,email,Enterprise,Nessuno,Bassa,0,1,1451,1,2,1,1,15,Richiesta
T-00439,form,Business,Frontend,Bassa,0,0,350,0,3,1,1,10,Richiesta
T-00440,email,Enterprise,Fatturazione,Bassa,0,1,98,0,2,3,1,11,Domanda
T-00441,form,Business,Frontend,Alta,1,1,338,3,0,0,1,10,Bug
T-00442,chat,Free,Backend,Alta,1,3,1458,6,0,0,1,10,Bug
T-00443,telefono,Business,Frontend,Media,1,2,756,2,0,0,1,13,Bug
T-00444,form,Business,API,Bassa,0,1,574,0,2,0,1,14,Richiesta
T-00445,email,Business,Mobile,Alta,0,2,208,0,1,1,1,11,Bug
T-00446,chat,Free,Frontend,Bassa,0,0,224,1,2,2,1,14,Domanda
T-00447,form,Free,Frontend,Media,1,3,1556,3,0,0,1,10,Bug
T-00448,email,Enterprise,Account,Bassa,0,0,298,1,3,0,1,14,Richiesta
T-00449,email,Free,Frontend,Media,1,2,1171,2,0,1,1,14,Bug
T-00450,email,Business,Nessuno,Bassa,0,0,783,1,2,2,1,10,Richiesta
T-00451,email,Free,Fatturazione,Media,0,0,359,0,0,2,1,14,Domanda
T-00452,form,Free,Account,Bassa,0,1,376,0,4,1,1,13,Richiesta
T-00453,email,Business,Backend,Media,1,1,1472,3,1,0,1,11,Bug
T-00454,email,Business,Frontend,Bassa,0,1,931,1,2,1,1,12,Richiesta
T-00455,telefono,Business,Account,Media,0,2,334,0,1,2,1,17,Domanda
T-00456,form,Business,Nessuno,Bassa,0,0,482,1,3,1,1,12,Richiesta
T-00457,email,Business,API,Media,1,3,1190,4,0,0,1,12,Bug
T-00458,chat,Free,Nessuno,Bassa,0,0,174,1,1,2,1,14,Domanda
T-00459,email,Enterprise,Backend,Urgente,1,0,311,3,0,0,5,9,Incidente
T-00460,form,Business,API,Media,0,0,322,0,3,1,1,13,Richiesta
T-00461,form,Business,API,Media,0,1,1123,3,0,0,2,17,Bug
T-00462,telefono,Free,Nessuno,Bassa,0,0,509,1,0,4,1,16,Domanda
T-00463,email,Business,Frontend,Media,0,0,1212,0,4,1,1,14,Richiesta
T-00464,email,Business,Account,Media,0,0,314,1,0,4,1,12,Domanda
T-00465,form,Business,API,Media,1,1,1216,3,0,3,2,12,Bug
T-00466,form,Business,Nessuno,Bassa,0,1,257,1,0,0,1,10,Richiesta
T-00467,chat,Free,Nessuno,Bassa,0,1,394,0,3,0,1,12,Richiesta
T-00468,chat,Enterprise,Backend,Urgente,0,2,723,4,0,0,7,22,Incidente
T-00469,form,Free,Backend,Media,0,2,918,2,0,0,2,11,Bug
T-00470,email,Enterprise,Mobile,Bassa,0,1,729,0,1,1,1,13,Bug
T-00471,form,Business,API,Alta,0,0,1695,3,0,2,1,9,Bug
T-00472,form,Business,API,Alta,1,1,426,4,0,0,2,15,Bug
T-00473,email,Free,Backend,Bassa,1,1,513,1,0,0,2,12,Bug
T-00474,email,Enterprise,Account,Bassa,0,0,527,0,3,1,1,14,Richiesta
T-00475,form,Business,Frontend,Media,1,3,1623,1,0,0,2,15,Bug
T-00476,chat,Business,Frontend,Bassa,0,0,340,0,1,1,1,11,Domanda
T-00477,form,Business,Backend,Media,1,5,1222,4,0,0,1,14,Bug
T-00478,form,Enterprise,API,Alta,0,0,986,3,0,0,1,15,Bug
T-00479,chat,Business,Fatturazione,Bassa,1,0,137,1,1,0,1,12,Domanda
T-00480,email,Business,Nessuno,Bassa,0,1,249,1,0,4,1,11,Domanda
T-00481,chat,Free,Account,Alta,0,1,353,5,0,0,1,17,Bug
T-00482,chat,Business,Fatturazione,Media,0,0,555,1,1,1,1,15,Domanda
T-00483,email,Free,Mobile,Alta,1,1,933,0,0,0,1,16,Bug
T-00484,telefono,Business,Nessuno,Urgente,0,0,229,3,0,0,9,0,Incidente
T-00485,email,Business,API,Urgente,0,0,667,0,0,0,8,12,Incidente
T-00486,email,Business,Account,Media,0,0,400,0,1,1,1,15,Richiesta
T-00487,chat,Enterprise,Backend,Media,0,1,482,3,0,0,2,12,Bug
T-00488,chat,Business,Backend,Alta,1,4,159,3,1,0,5,18,Incidente
T-00489,chat,Business,Backend,Bassa,0,1,1185,5,1,1,3,12,Bug
T-00490,email,Business,Frontend,Media,0,1,436,1,0,0,1,10,Bug
T-00491,chat,Free,Nessuno,Bassa,1,0,211,0,0,0,1,13,Domanda
T-00492,email,Business,Nessuno,Alta,1,0,252,4,0,1,5,12,Incidente
T-00493,chat,Free,Fatturazione,Bassa,0,1,211,3,1,3,1,13,Domanda
T-00494,form,Business,API,Alta,1,1,1482,3,0,1,1,9,Bug
T-00495,chat,Business,API,Media,0,0,801,2,0,2,9,8,Incidente
T-00496,chat,Business,Mobile,Bassa,0,0,544,0,1,1,1,11,Domanda
T-00497,form,Enterprise,Frontend,Bassa,1,1,1112,2,0,0,1,17,Bug
T-00498,form,Free,API,Media,0,2,479,5,1,1,1,14,Bug
T-00499,form,Free,Mobile,Bassa,0,2,646,6,0,0,1,19,Bug
T-00500,telefono,Business,Frontend,Media,0,1,1004,4,0,0,1,13,Bug
T-00501,telefono,Enterprise,Nessuno,Media,0,1,231,0,0,1,1,14,Domanda
T-00502,email,Free,Nessuno,Media,0,0,701,0,1,3,1,16,Domanda
T-00503,chat,Business,Nessuno,Media,0,0,76,1,0,2,1,14,Domanda
T-00504,telefono,Enterprise,API,Media,1,0,535,2,0,0,7,0,Incidente
T-00505,email,Business,Account,Media,1,0,327,0,0,3,1,12,Domanda
T-00506,form,Enterprise,Mobile,Media,1,2,2002,4,0,2,2,14,Bug
T-00507,email,Business,Frontend,Bassa,1,2,805,3,1,1,1,12,Bug
T-00508,form,Enterprise,Backend,Bassa,0,3,1093,4,0,0,1,11,Bug
T-00509,email,Business,Mobile,Media,0,0,673,1,2,0,1,13,Richiesta
T-00510,email,Business,API,Bassa,0,1,301,0,4,0,1,16,Richiesta
T-00511,email,Enterprise,Backend,Alta,0,0,781,3,0,1,7,10,Incidente
T-00512,form,Free,API,Alta,1,2,527,5,0,0,2,12,Bug
T-00513,telefono,Free,Frontend,Media,1,1,676,7,0,0,2,16,Bug
T-00514,form,Free,Account,Media,1,1,789,5,1,0,2,14,Bug
T-00515,chat,Business,API,Media,0,1,282,0,3,5,1,13,Domanda
T-00516,email,Business,Mobile,Media,0,0,572,0,0,0,1,9,Richiesta
T-00517,email,Free,API,Bassa,1,3,576,5,0,1,1,13,Bug
T-00518,chat,Enterprise,Backend,Media,0,0,1248,4,1,0,6,16,Incidente
T-00519,form,Free,Nessuno,Bassa,0,0,595,0,2,1,1,13,Richiesta
T-00520,form,Business,API,Bassa,0,0,674,0,1,2,1,8,Richiesta
T-00521,telefono,Enterprise,Backend,Urgente,0,0,286,4,2,0,7,13,Incidente
T-00522,form,Business,Frontend,Alta,0,1,898,3,0,0,2,8,Bug
T-00523,chat,Free,Nessuno,Bassa,0,1,325,0,0,1,1,16,Domanda
T-00524,form,Business,Backend,Alta,0,2,698,4,0,0,4,17,Incidente
T-00525,form,Free,Backend,Alta,0,2,428,2,0,1,1,11,Bug
T-00526,chat,Free,Nessuno,Bassa,0,0,279,0,1,0,1,10,Richiesta
T-00527,email,Free,API,Bassa,0,0,581,0,2,0,1,13,Richiesta
T-00528,email,Business,Fatturazione,Alta,1,1,456,4,1,2,1,18,Bug
T-00529,form,Business,Mobile,Media,0,0,264,0,4,0,1,13,Richiesta
T-00530,chat,Free,Account,Bassa,0,1,178,0,0,1,1,8,Domanda
T-00531,form,Business,Mobile,Alta,1,1,490,4,0,0,1,5,Bug
T-00532,form,Business,Mobile,Urgente,1,2,1291,3,0,1,2,13,Bug
T-00533,email,Enterprise,Mobile,Media,0,0,558,1,4,0,1,13,Richiesta
T-00534,form,Business,Frontend,Urgente,1,1,298,4,1,1,1,15,Bug
T-00535,email,Business,API,Media,1,3,635,0,0,1,1,11,Bug
T-00536,form,Free,Frontend,Bassa,0,1,766,1,2,2,1,13,Richiesta
T-00537,form,Free,Nessuno,Bassa,0,0,477,2,1,4,2,11,Domanda
T-00538,email,Free,Frontend,Alta,0,0,749,3,0,0,1,9,Bug
T-00539,email,Enterprise,API,Media,1,1,748,2,0,0,2,11,Bug
T-00540,email,Free,Mobile,Urgente,0,0,687,2,0,0,1,13,Bug
T-00541,form,Enterprise,Account,Bassa,0,0,181,0,1,4,1,16,Domanda
T-00542,telefono,Business,Account,Media,0,0,216,1,2,6,1,7,Domanda
T-00543,email,Business,Mobile,Alta,0,0,965,4,1,1,1,15,Bug
T-00544,form,Business,Nessuno,Bassa,0,0,570,0,6,0,1,13,Richiesta
T-00545,form,Enterprise,Frontend,Bassa,0,0,286,0,1,2,1,12,Richiesta
T-00546,chat,Enterprise,Nessuno,Media,0,0,173,1,0,5,1,16,Domanda
T-00547,email,Business,Frontend,Media,1,5,908,5,0,1,1,11,Bug
T-00548,form,Business,Frontend,Alta,0,0,1070,2,0,1,2,16,Bug
T-00549,chat,Business,API,Alta,0,0,155,1,0,1,8,19,Incidente
T-00550,form,Enterprise,Nessuno,Bassa,0,0,797,1,1,0,1,13,Richiesta
T-00551,email,Free,Account,Media,0,0,790,0,3,1,1,15,Richiesta
T-00552,email,Free,Frontend,Media,0,0,136,0,0,0,1,11,Domanda
T-00553,email,Enterprise,Fatturazione,Bassa,0,1,513,0,2,1,1,12,Richiesta
T-00554,email,Free,Fatturazione,Alta,0,0,344,1,2,5,1,14,Domanda
T-00555,form,Enterprise,Frontend,Bassa,0,0,843,3,1,0,1,10,Bug
T-00556,form,Enterprise,Account,Bassa,0,0,262,2,1,2,3,10,Bug
T-00557,email,Free,Frontend,Alta,0,2,473,0,2,2,1,17,Richiesta
T-00558,email,Business,Nessuno,Alta,0,1,631,0,2,0,2,18,Richiesta
T-00559,chat,Free,Frontend,Alta,0,1,183,0,1,3,1,16,Domanda
T-00560,chat,Business,Frontend,Alta,1,1,293,5,1,0,2,15,Bug
T-00561,form,Free,Account,Alta,0,3,540,3,1,2,1,9,Bug
T-00562,form,Enterprise,Backend,Urgente,0,1,211,6,0,2,6,19,Incidente
T-00563,email,Free,Nessuno,Bassa,0,0,122,3,2,3,1,10,Domanda
T-00564,chat,Free,Frontend,Alta,0,0,325,3,0,0,1,16,Bug
T-00565,form,Free,API,Media,0,3,1180,0,1,0,2,14,Bug
T-00566,telefono,Enterprise,Account,Bassa,1,2,238,1,0,0,1,15,Bug
T-00567,form,Business,Backend,Media,0,0,260,1,1,1,1,15,Richiesta
T-00568,email,Free,Mobile,Bassa,0,0,2268,1,0,1,1,15,Bug
T-00569,email,Business,Frontend,Bassa,0,0,862,0,2,1,1,17,Richiesta
T-00570,form,Enterprise,Fatturazione,Bassa,1,2,693,5,0,1,1,11,Bug
T-00571,form,Enterprise,Frontend,Bassa,1,2,411,4,0,0,1,12,Bug
T-00572,chat,Business,Frontend,Media,1,1,675,0,1,0,2,13,Bug
T-00573,email,Enterprise,Nessuno,Bassa,0,2,802,0,2,0,1,14,Richiesta
T-00574,telefono,Free,Fatturazione,Media,0,0,623,0,1,3,1,12,Domanda
T-00575,email,Business,Fatturazione,Bassa,0,0,278,3,0,0,1,13,Domanda
T-00576,form,Enterprise,Account,Media,1,2,485,4,0,0,1,16,Bug
T-00577,email,Enterprise,Nessuno,Media,0,0,586,0,4,2,1,13,Richiesta
T-00578,chat,Business,Frontend,Bassa,0,1,235,1,6,2,1,8,Richiesta
T-00579,telefono,Business,Backend,Alta,0,3,381,3,0,0,4,3,Incidente
T-00580,form,Free,Mobile,Alta,1,0,1451,6,0,2,1,12,Bug
T-00581,form,Free,Mobile,Media,1,2,422,2,1,0,1,20,Bug
T-00582,email,Business,Account,Bassa,0,0,146,0,0,1,1,8,Domanda
T-00583,email,Business,API,Alta,1,1,522,6,0,1,6,4,Incidente
T-00584,chat,Business,Fatturazione,Urgente,0,0,166,0,0,2,1,10,Domanda
T-00585,email,Business,Backend,Media,0,1,476,5,0,1,1,20,Bug
T-00586,form,Free,Frontend,Media,0,0,877,2,0,1,1,19,Bug
T-00587,email,Business,Fatturazione,Media,1,1,186,1,0,1,1,12,Bug
T-00588,form,Enterprise,Mobile,Alta,1,1,387,4,0,1,1,11,Bug
T-00589,telefono,Free,Frontend,Alta,0,1,4133,4,0,0,1,10,Bug
T-00590,form,Business,Mobile,Bassa,0,1,672,2,0,0,1,8,Bug
T-00591,form,Business,Account,Bassa,0,2,1529,7,2,0,1,12,Bug
T-00592,form,Business,Nessuno,Media,0,1,752,0,3,0,2,12,Richiesta
T-00593,chat,Enterprise,Backend,Bassa,0,1,518,1,3,1,1,14,Richiesta
T-00594,chat,Free,Account,Media,0,1,343,1,0,0,1,10,Domanda
T-00595,email,Business,Fatturazione,Media,0,0,516,0,0,1,1,8,Richiesta
T-00596,email,Free,Fatturazione,Bassa,0,0,463,0,0,4,1,14,Domanda
T-00597,chat,Business,Frontend,Bassa,0,0,682,1,1,0,1,14,Domanda
T-00598,form,Free,Frontend,Media,1,1,476,1,0,1,2,8,Bug
T-00599,chat,Enterprise,Frontend,Media,0,0,186,1,0,3,1,13,Domanda
T-00600,form,Free,Nessuno,Bassa,0,0,138,0,1,0,1,14,Domanda
T-00601,email,Enterprise,Backend,Alta,0,2,745,4,0,0,1,18,Bug
T-00602,chat,Free,Fatturazione,Media,0,0,849,2,2,1,1,13,Domanda
T-00603,chat,Business,API,Media,1,0,933,2,0,1,3,9,Bug
T-00604,form,Free,Frontend,Urgente,0,1,303,2,0,0,1,16,Bug
T-00605,form,Free,Frontend,Media,0,1,624,4,0,2,1,14,Bug
T-00606,telefono,Enterprise,Frontend,Urgente,0,0,924,1,0,0,11,23,Incidente
T-00607,email,Free,Backend,Media,1,0,1185,3,1,0,1,15,Bug
T-00608,email,Business,API,Media,0,0,353,3,1,4,1,15,Domanda
T-00609,telefono,Business,Account,Bassa,0,1,308,0,0,3,1,19,Domanda
T-00610,telefono,Free,API,Alta,0,0,375,2,0,1,6,7,Incidente
T-00611,email,Free,Fatturazione,Bassa,0,1,259,0,0,0,2,9,Richiesta
T-00612,form,Enterprise,Account,Alta,1,0,994,4,0,0,1,9,Bug
T-00613,form,Free,Frontend,Alta,1,0,1455,2,0,1,1,16,Bug
T-00614,telefono,Business,Frontend,Alta,1,2,1194,2,0,0,1,12,Bug
T-00615,chat,Enterprise,Nessuno,Media,0,0,361,0,0,3,1,14,Domanda
T-00616,email,Business,Frontend,Media,0,0,505,0,0,1,1,15,Domanda
T-00617,form,Enterprise,Fatturazione,Media,0,0,85,0,0,5,1,16,Domanda
T-00618,form,Free,Backend,Bassa,0,0,844,3,1,0,1,16,Bug
T-00619,form,Enterprise,Account,Bassa,0,0,580,0,3,0,1,13,Richiesta
T-00620,chat,Free,Account,Urgente,1,1,1148,3,0,1,1,11,Bug
T-00621,email,Enterprise,Backend,Alta,1,0,558,5,1,2,2,12,Bug
T-00622,email,Business,Frontend,Bassa,0,1,913,0,3,2,1,9,Richiesta
T-00623,form,Business,Frontend,Media,1,1,407,0,1,1,1,14,Bug
T-00624,form,Business,Account,Bassa,0,1,307,1,1,8,1,13,Domanda
T-00625,telefono,Enterprise,Backend,Urgente,0,0,250,0,1,0,2,1,Incidente
T-00626,email,Business,Nessuno,Bassa,0,0,626,0,3,1,1,12,Richiesta
T-00627,email,Business,Frontend,Media,1,1,475,1,0,3,1,12,Bug
T-00628,chat,Free,Nessuno,Bassa,0,0,182,1,0,2,1,5,Domanda
T-00629,form,Business,Backend,Alta,0,3,894,4,0,1,1,5,Bug
T-00630,email,Free,Fatturazione,Bassa,0,1,273,0,0,1,1,17,Domanda
T-00631,form,Enterprise,Frontend,Media,0,1,901,3,0,0,2,13,Bug
T-00632,email,Business,Account,Media,1,1,701,4,1,1,1,10,Bug
T-00633,chat,Enterprise,Account,Bassa,0,0,456,0,2,3,1,16,Domanda
T-00634,form,Free,Frontend,Media,0,1,1551,1,0,0,2,10,Bug
T-00635,form,Enterprise,Fatturazione,Bassa,0,0,413,1,3,0,1,16,Richiesta
T-00636,email,Free,API,Bassa,0,2,493,2,2,1,1,9,Bug
T-00637,email,Enterprise,Backend,Alta,0,0,1595,5,0,2,1,15,Bug
T-00638,chat,Free,API,Bassa,0,1,262,0,2,0,2,10,Richiesta
T-00639,email,Business,Account,Media,0,0,1082,0,2,2,1,12,Richiesta
T-00640,telefono,Free,Nessuno,Bassa,0,0,404,1,1,1,1,14,Domanda
T-00641,form,Business,API,Media,0,2,755,4,0,0,1,14,Bug
T-00642,form,Free,Mobile,Alta,1,0,403,3,0,0,2,17,Bug
T-00643,email,Free,Account,Media,0,0,706,0,1,4,1,10,Domanda
T-00644,chat,Business,Frontend,Alta,1,2,497,2,0,1,1,12,Bug
T-00645,chat,Business,Mobile,Bassa,1,0,166,1,1,1,1,8,Domanda
T-00646,form,Enterprise,Mobile,Media,1,3,456,3,0,0,1,13,Bug
T-00647,email,Business,Fatturazione,Bassa,0,0,613,0,2,1,1,9,Domanda
T-00648,form,Business,Frontend,Media,1,3,1459,1,0,0,1,14,Bug
T-00649,telefono,Business,Backend,Urgente,0,5,302,4,0,0,5,12,Incidente
T-00650,email,Business,Frontend,Media,0,0,1243,0,2,0,1,6,Richiesta
T-00651,form,Free,Account,Media,0,0,321,0,2,2,1,12,Domanda
T-00652,form,Free,Mobile,Media,1,1,1111,2,1,1,1,7,Bug
T-00653,email,Free,API,Bassa,0,1,230,3,0,2,1,7,Domanda
T-00654,chat,Business,Nessuno,Media,0,0,765,0,2,1,1,15,Richiesta
T-00655,chat,Enterprise,Backend,Alta,1,1,888,1,1,0,2,14,Bug
T-00656,chat,Business,Fatturazione,Bassa,0,0,115,1,1,1,1,11,Domanda
T-00657,email,Free,Fatturazione,Bassa,0,0,1129,1,3,2,1,14,Richiesta
T-00658,chat,Enterprise,Backend,Alta,1,1,225,1,0,3,9,6,Incidente
T-00659,email,Business,Frontend,Alta,1,0,502,3,0,1,1,16,Bug
T-00660,form,Enterprise,Frontend,Media,1,1,413,1,0,1,1,21,Bug
T-00661,form,Enterprise,Mobile,Media,1,3,466,3,0,1,1,13,Bug
T-00662,chat,Free,Backend,Media,0,0,754,0,0,2,1,13,Domanda
T-00663,email,Business,Nessuno,Bassa,0,0,276,1,4,0,1,12,Richiesta
T-00664,chat,Free,Nessuno,Bassa,0,0,261,1,0,2,1,13,Domanda
T-00665,telefono,Enterprise,API,Urgente,1,1,139,3,0,0,5,16,Incidente
T-00666,form,Free,Frontend,Bassa,0,1,1037,0,3,1,1,11,Richiesta
T-00667,chat,Free,Fatturazione,Bassa,0,1,414,0,0,1,1,10,Domanda
T-00668,form,Business,API,Media,1,0,657,2,0,1,1,12,Bug
T-00669,email,Enterprise,API,Media,0,0,383,0,0,2,1,10,Domanda
T-00670,email,Free,Frontend,Alta,1,2,579,3,1,1,2,10,Bug
T-00671,email,Enterprise,Account,Media,1,2,557,2,0,0,9,22,Incidente
T-00672,form,Free,API,Bassa,1,0,152,1,1,7,1,7,Domanda
T-00673,chat,Business,Nessuno,Bassa,1,1,344,1,1,3,1,17,Domanda
T-00674,form,Business,Backend,Media,0,3,1390,3,0,0,1,13,Bug
T-00675,chat,Free,Account,Bassa,0,1,279,1,2,1,1,10,Domanda
T-00676,form,Business,Account,Bassa,0,0,255,0,0,5,1,12,Domanda
T-00677,email,Enterprise,Backend,Media,0,0,477,0,5,1,1,11,Richiesta
T-00678,form,Free,Backend,Alta,0,2,375,2,0,0,2,14,Bug
T-00679,chat,Free,Frontend,Bassa,1,0,114,0,1,0,1,12,Domanda
T-00680,email,Free,Fatturazione,Media,0,1,145,0,1,4,1,11,Domanda
T-00681,email,Business,Nessuno,Alta,0,0,1621,0,1,0,1,14,Richiesta
T-00682,form,Business,Fatturazione,Urgente,0,0,672,2,1,2,2,17,Bug
